divesite,country,region,location,X,Y
Ao Khai Koh Chan,Thailand,Gulf of Thailand,Eastern Gulf,12.51705406,100.9705295
Three Trees,Thailand,Andaman Sea,Koh Similan,8.67483,97.6469
Talang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,6.489237126,99.332757
Lighthouse Pinnacle,Thailand,Gulf of Thailand,Koh Tao,10.12089317,99.84523207
Racha Noi Bay,Thailand,Koh Phuket,Racha Islands,7.466028175,98.30942988
King Kong Rock,Thailand,Gulf of Thailand,Koh Tao,10.07317605,99.84782011
Marista Rock,Thailand,Koh Phuket,Racha Islands,7.50255,98.31816667
Hin Luk Bat ,Thailand,Gulf of Thailand,Koh Chang,11.96073862,102.3012543
Hin Kuak Ma,Thailand,Gulf of Thailand,Koh Chang,11.78065311,102.4111176
Malone Wall,Thailand,Andaman Sea,Koh Phi Phi,7.685416667,98.76256667
Racha Yai Wreck,Thailand,Koh Phuket,Racha Islands,7.608072222,98.37831667
HTMS Sattakut,Thailand,Gulf of Thailand,Koh Tao,10.10555556,99.81361111
Tuna wreck,Thailand,Andaman Sea,Koh Similan,8.56675,97.64644444
Num Chai Bay,Thailand,Andaman Sea,Koh Similan,8.675554458,97.64622688
Anemone Life,Thailand,Gulf of Thailand,Koh Chang,11.70661909,102.5313663
Koh Raet,Thailand,Gulf of Thailand,Koh Chang,11.68281222,102.5240922
Koh Maphring,Thailand,Gulf of Thailand,Koh Chang,11.78699676,102.3955822
Three fingers life,Thailand,Gulf of Thailand,Eastern Gulf,11.79031556,102.3967838
Ao Sane,Thailand,Andaman Sea,Koh Phuket,7.777637273,98.29709172
Maritus Rock,Thailand,Andaman Sea,Koh Phuket,7.735199617,98.29542875
Buddha Rock,Thailand,Gulf of Thailand,Koh Tao,10.06018333,99.827625
Hin Dot,Thailand,Andaman Sea,Koh Phi Phi,7.712012309,98.77859116
Yong Hua Wreck,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,6.483885729,99.28336143
Jabang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,6.513520242,99.27117348
Adang corner,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,6.578070509,99.27700996
Koh Yang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,6.540296399,99.26138878
Bird Rock,Thailand,Andaman Sea,Koh Similan,8.557766155,97.63678551
Batfish Bend,Thailand,Andaman Sea,Koh Similan,8.682257441,97.64983177
Koh Sarang,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,6.492371185,99.17766094
Koh Pung,Thailand,Andaman Sea,Koh Lipe and the Butang Islands,6.540658805,99.16540861
Ko Bon North Point,Thailand,Andaman Sea,Koh Surin,8.827063382,97.80235291
Koh Tachai The Dome,Thailand,Andaman Sea,Koh Surin,9.060651635,97.81376839
Ko Haa  4,Thailand,Andaman Sea,Koh Lanta,7.429,98.89696667
Ko Haa  2,Thailand,Andaman Sea,Koh Lanta,7.43065,98.89793333
Ko Haa  3 - Lagoon,Thailand,Andaman Sea,Koh Lanta,7.430416667,98.89655
Ko Haa Nua  1 - The Chimney,Thailand,Andaman Sea,Koh Lanta,7.4344,98.89855
